experimento,hilo,tiempo_obtener_logger_ns,timestamp_ns,mensaje,tiempo_escritura_ns,tiempo_total_registro_ns
0,4,1000,1223908952146000,0,25730600,
0,3,5006000,1223908953110800,0,59607500,
0,1,2200,1223908954368400,0,34262200,
0,2,8628300,1223908955330100,0,61074700,
0,2,8628300,1223908959107500,1,3765100,
0,1,2200,1223908959989000,1,5612900,
0,3,5006000,1223908961515800,1,7418900,
0,4,1000,1223908962342100,1,8246500,
0,4,1000,1223908963123200,2,775800,
0,3,5006000,1223908964149100,2,2626500,
0,1,2200,1223908965001300,2,5006400,
0,2,8628300,1223908965837800,2,6721400,
0,1,2200,1223908966696000,3,1688100,
0,3,5006000,1223908967537900,3,3381700,
0,4,1000,1223908968353000,3,5223600,
0,3,5006000,1223908969258100,4,1713500,
0,1,2200,1223908970214700,4,3511700,
0,2,8628300,1223908971887600,3,6040100,
0,1,2200,1223908972816300,5,2574800,
0,1,2200,1223908973755100,6,923100,
0,3,5006000,1223908974661100,5,5394900,
0,4,1000,1223908975486500,4,7127000,
0,4,1000,1223908976365000,5,872200,
0,3,5006000,1223908977375400,6,2707500,
0,1,2200,1223908978440100,7,4677400,
0,1,2200,1223908979478900,8,1032400,
0,1,2200,1223908980296500,9,810900,
0,2,8628300,1223908981115200,4,9218700,
0,2,8628300,1223908981937400,5,816600,
0,2,8628300,1223908982782000,6,837500,
0,2,8628300,1223908983489100,7,701000,
0,2,8628300,1223908984206600,8,712700,
0,2,8628300,1223908984932700,9,721000,
0,1,2200,1223908985905300,10,5602900,
0,1,2200,1223908987235300,11,1285500,
0,1,2200,1223908988303400,12,1059900,
0,3,5006000,1223908989169900,7,11788200,
0,3,5006000,1223908990013100,8,837000,
0,3,5006000,1223908990803400,9,785200,
0,4,1000,1223908991745600,6,15373900,
0,3,5006000,1223908992610500,10,1802400,
0,1,2200,1223908993441100,13,5129900,
0,2,8628300,1223908994242800,10,9304800,
0,1,2200,1223908994868400,14,1422100,
0,3,5006000,1223908995626000,11,2994300,
0,4,1000,1223908996495600,7,4743700,
0,3,5006000,1223908997324500,12,1690200,
0,3,5006000,1223908997962000,13,631900,
0,2,8628300,1223908998690600,11,4422900,
0,2,8628300,1223908999518400,12,822300,
0,3,5006000,1223909000474300,14,2508000,
0,4,1000,1223909001316600,8,4815800,
0,2,8628300,1223909002058200,13,2533800,
0,2,8628300,1223909003005200,14,941300,
0,4,1000,1223909004079600,9,2756200,
0,4,1000,1223909005112700,10,1027300,
0,4,1000,1223909005987000,11,804200,
0,4,1000,1223909006900500,12,908300,
0,4,1000,1223909007668300,13,761900,
0,4,1000,1223909008389500,14,716500,
0,1,2200,,,TOTAL,,74769000
0,2,8628300,,,TOTAL,,109071900
0,3,5006000,,,TOTAL,,106977700
0,4,1000,,,TOTAL,,81978600
1,2,828500,1223909313871700,0,39474800,
1,4,583700,1223909315222400,0,40898800,
1,4,583700,1223909316722500,1,1490100,
1,4,583700,1223909318087100,2,1357100,
1,1,750500,1223909319055100,0,44743600,
1,3,744800,1223909320062000,0,45685400,
1,1,750500,1223909321085000,1,2014000,
1,4,583700,1223909321959000,3,3864800,
1,2,828500,1223909322851000,1,7924000,
1,4,583700,1223909323717200,4,1752600,
1,1,750500,1223909324465800,2,3375000,
1,1,750500,1223909325490700,3,1019700,
1,3,744800,1223909326230100,1,6156000,
1,1,750500,1223909326986000,4,1487600,
1,4,583700,1223909327732300,5,4009700,
1,2,828500,1223909328519200,2,5662700,
1,4,583700,1223909329255200,6,1516900,
1,1,750500,1223909329998800,5,3007700,
1,3,744800,1223909330728600,2,4486000,
1,1,750500,1223909331459500,6,1453800,
1,4,583700,1223909332202600,7,2942100,
1,2,828500,1223909333017500,3,4493300,
1,4,583700,1223909333613000,8,1405000,
1,1,750500,1223909334323500,7,2858700,
1,3,744800,1223909335147900,3,4413800,
1,1,750500,1223909335989600,8,1660300,
1,4,583700,1223909336893400,9,3275800,
1,2,828500,1223909337773100,4,4750100,
1,4,583700,1223909338760700,10,1861300,
1,1,750500,1223909339691200,9,3694800,
1,3,744800,1223909340539300,4,5386500,
