experimento,hilo,tiempo_obtener_logger_ns,timestamp_ns,mensaje,tiempo_escritura_ns,tiempo_total_registro_ns
0,1,1466400,923282229323900,0,28822600,
0,4,1226800,923282229354300,0,26934000,
0,3,1430700,923282229414700,0,25021100,
0,2,1634800,923282229504500,0,23111400,
0,2,1634800,923282254418000,1,8923000,
0,3,1430700,923282254443100,1,7165500,
0,4,1226800,923282256299400,1,3694100,
0,1,1466400,923282258157600,1,20925600,
0,4,1226800,923282260004700,2,17413800,
0,3,1430700,923282261617900,2,3351300,
0,2,1634800,923282263349500,2,23595700,
0,3,1430700,923282264982300,3,2253700,
0,3,1430700,923282267245800,4,1556000,
0,3,1430700,923282268813000,5,1775300,
0,3,1430700,923282270636200,6,1631900,
0,3,1430700,923282272279300,7,1527800,
0,3,1430700,923282273816500,8,2198900,
0,3,1430700,923282276025900,9,10113200,
0,4,1226800,923282277428100,3,5095700,
0,1,1466400,923282279117100,2,1688800,
0,1,1466400,923282280823100,3,24405600,
0,4,1226800,923282282533700,4,11991100,
0,3,1430700,923282286160000,10,6081800,
0,2,1634800,923282286953000,3,1592800,
0,2,1634800,923282288555400,4,1688600,
0,2,1634800,923282290255200,5,29643600,
0,3,1430700,923282292274700,11,24620700,
0,4,1226800,923282294535400,5,1015800,
0,4,1226800,923282295562800,6,1058600,
0,4,1226800,923282296631600,7,990100,
0,4,1226800,923282297632000,8,2014500,
0,4,1226800,923282299659700,9,4449400,
0,4,1226800,923282304120300,10,11803400,
0,1,1466400,923282305237900,4,931900,
0,1,1466400,923282306179200,5,909800,
0,1,1466400,923282307100900,6,1181200,
0,1,1466400,923282308293900,7,1201100,
0,1,1466400,923282309526300,8,1184300,
0,1,1466400,923282310722400,9,856900,
0,1,1466400,923282311588700,10,1298200,
0,1,1466400,923282312897600,11,1250000,
0,1,1466400,923282314158400,12,1008600,
0,1,1466400,923282315175400,13,9104800,
0,4,1226800,923282315932900,11,5919800,
0,3,1430700,923282316903400,12,926500,
0,3,1430700,923282317838600,13,3712900,
0,2,1634800,923282319908100,6,987300,
0,2,1634800,923282320904000,7,5982500,
0,3,1430700,923282321561300,14,4345400,
0,4,1226800,923282321860100,12,1655400,
0,4,1226800,923282323526500,13,1570200,
0,1,1466400,923282324290000,14,5232000,
0,4,1226800,923282325105000,14,3548200,
0,2,1634800,923282326897400,8,883000,
0,2,1634800,923282327791000,9,2866500,
0,2,1634800,923282330666000,10,912900,
0,2,1634800,923282331587200,11,3252700,
0,2,1634800,923282334851900,12,1146100,
0,2,1634800,923282336007600,13,1351800,
0,2,1634800,923282337391000,14,1206300,
0,3,1430700,,,TOTAL,,96518000
0,4,1226800,,,TOTAL,,99309600
0,1,1466400,,,TOTAL,,100270400
0,2,1634800,,,TOTAL,,109105000
1,1,983600,923282662247500,0,25382000,
1,3,679100,923282662258400,0,28285300,
1,4,515500,923282662265300,0,27294300,
1,2,828600,923282662265900,0,26208200,
1,2,828600,923282688630800,1,5345500,
1,1,983600,923282688672900,1,4481500,
1,4,515500,923282689566700,1,1855600,
1,3,679100,923282690550500,1,20405200,
