experimento,hilo,tiempo_obtener_logger_ns,timestamp_ns,mensaje,tiempo_escritura_ns,tiempo_total_registro_ns
0,1,3216200,921728592446400,0,49895800,
0,4,2950600,921728592447800,0,47441200,
0,2,3257500,921728592535000,0,52545600,
0,3,3224900,921728592613400,0,54523700,
0,4,2950600,921728642845700,1,9844900,
0,1,3216200,921728642855200,1,7948700,
0,2,3257500,921728645100400,1,3997400,
0,3,3224900,921728647162800,1,12828000,
0,2,3257500,921728649131300,2,9046000,
0,1,3216200,921728650822300,2,3721500,
0,4,2950600,921728652709900,2,12950400,
0,1,3216200,921728654569300,3,1644700,
0,1,3216200,921728656231800,4,7580500,
0,2,3257500,921728658195000,3,3825500,
0,3,3224900,921728660096300,2,9459200,
0,2,3257500,921728662040200,4,6376900,
0,1,3216200,921728663830800,5,3469900,
0,4,2950600,921728665677600,3,14866700,
0,1,3216200,921728667318200,6,5112000,
0,2,3257500,921728668460100,5,2308100,
0,3,3224900,921728669568400,3,17602000,
0,2,3257500,921728670780000,6,13361100,
0,1,3216200,921728672448200,7,1792300,
0,1,3216200,921728674260800,8,2072800,
0,1,3216200,921728676358100,9,2455200,
0,1,3216200,921728678832400,10,3528900,
0,4,2950600,921728680600200,4,14122500,
0,1,3216200,921728682378600,11,10008200,
0,2,3257500,921728684182200,7,4919400,
0,3,3224900,921728687187700,4,18147200,
0,2,3257500,921728689123300,8,14073500,
0,1,3216200,921728692408700,12,4088000,
0,4,2950600,921728694744000,5,16735900,
0,1,3216200,921728696516600,13,1764400,
0,1,3216200,921728698299600,14,2140900,
0,2,3257500,921728703255300,9,7198400,
0,3,3224900,921728705357600,5,1820400,
0,3,3224900,921728707198600,6,1603000,
0,3,3224900,921728708815900,7,4962600,
0,2,3257500,921728710466100,10,2141800,
0,4,2950600,921728711492400,6,4198300,
0,2,3257500,921728712619600,11,2150800,
0,3,3224900,921728713788400,8,3745700,
0,2,3257500,921728714780900,12,1861700,
0,4,2950600,921728715701100,7,3298100,
0,2,3257500,921728716655100,13,1717200,
0,3,3224900,921728717550600,9,4216600,
0,2,3257500,921728718386000,14,2344200,
0,4,2950600,921728719005000,8,601700,
0,4,2950600,921728719612500,9,2936500,
0,3,3224900,921728721778000,10,1763800,
0,4,2950600,921728722556900,10,1884700,
0,3,3224900,921728723554200,11,1822500,
0,4,2950600,921728724452800,11,2093700,
0,3,3224900,921728725388600,12,2007000,
0,4,2950600,921728726558200,12,1723800,
0,3,3224900,921728727411500,13,1707100,
0,4,2950600,921728728292500,13,1588400,
0,3,3224900,921728729127700,14,1487500,
0,4,2950600,921728729890400,14,1411200,
0,1,3216200,,,TOTAL,,108015900
0,2,3257500,,,TOTAL,,128204300
0,3,3224900,,,TOTAL,,138010400
0,4,2950600,,,TOTAL,,138861600
1,1,1040600,921729104037100,0,26903700,
1,4,836900,921729104045100,0,28911400,
1,3,1019100,921729104112800,0,26016900,
1,2,1128900,921729104141900,0,27915900,
1,1,1040600,921729131085700,1,4364400,
1,3,1019100,921729131089000,1,3590800,
1,2,1128900,921729132066300,1,1725600,
1,4,836900,921729132971200,1,5258300,
1,2,1128900,921729133800200,2,3499100,
1,3,1019100,921729134687900,2,1562500,
1,1,1040600,921729135458100,2,6633500,
1,3,1019100,921729136260700,3,4751300,
1,2,1128900,921729137308200,3,2575800,
1,4,836900,921729138238500,2,741700,
1,4,836900,921729139014100,3,5535200,
1,2,1128900,921729139891600,4,3911400,
1,3,1019100,921729141025900,4,2046600,
1,1,1040600,921729142112400,3,5263000,
1,3,1019100,921729143081100,5,3535000,
1,2,1128900,921729143824700,5,1654500,
1,4,836900,921729144557500,4,5498300,
1,2,1128900,921729145488100,6,3694200,
1,3,1019100,921729146624500,6,1490100,
1,1,1040600,921729147382300,4,5846600,
1,3,1019100,921729148121500,7,4224900,
1,2,1128900,921729149192800,7,1649400,
1,4,836900,921729150079900,5,5814100,
1,2,1128900,921729150850300,8,764700,
1,2,1128900,921729151621900,9,3362700,
1,3,1019100,921729152355000,8,1888700,
1,1,1040600,921729153237300,5,6514700,
1,3,1019100,921729154253000,9,4609000,
1,2,1128900,921729154991600,10,2960200,
1,4,836900,921729155902200,6,965900,
1,4,836900,921729156878400,7,6507200,
1,2,1128900,921729157973500,11,4482000,
1,3,1019100,921729158871300,10,1837800,
1,1,1040600,921729159777500,6,7545000,
1,3,1019100,921729160719300,11,709500,
1,3,1019100,921729161436200,12,3528000,
1,2,1128900,921729162463600,12,1635100,
1,4,836900,921729163393200,8,5510000,
1,2,1128900,921729164107000,13,4072900,
1,3,1019100,921729164972700,13,725400,
1,3,1019100,921729165706100,14,748000,
1,1,1040600,921729167330700,7,3279000,
1,2,1128900,921729168188000,14,1557900,
1,4,836900,921729168911200,9,2610400,
1,1,1040600,921729170616800,8,1807200,
1,4,836900,921729171552500,10,3248100,
1,1,1040600,921729172435500,9,679900,
1,1,1040600,921729173122200,10,676600,
1,1,1040600,921729173806700,11,1939100,
1,4,836900,921729174811300,11,1966800,
1,1,1040600,921729175754900,12,2207000,
1,4,836900,921729176859900,12,2057500,
1,1,1040600,921729177972100,13,1939800,
1,4,836900,921729178926900,13,1869000,
1,1,1040600,921729179921600,14,1894100,
1,4,836900,921729180806500,14,1886000,
1,3,1019100,,,TOTAL,,62351400
1,2,1128900,,,TOTAL,,65612400
1,1,1040600,,,TOTAL,,77789000
1,4,836900,,,TOTAL,,78658100
2,1,938000,921729498379900,0,24545200,
2,4,706100,921729498392700,0,23389900,
2,3,833400,921729498420100,0,25240100,
2,2,959700,921729498445600,0,22580600,
2,2,959700,921729521917700,1,4897900,
2,4,706100,921729521920700,1,3818000,
2,1,938000,921729522935800,1,1801900,
2,3,833400,921729523666400,1,5427600,
2,1,938000,921729524749400,2,3668700,
2,4,706100,921729525747400,2,2011200,
2,2,959700,921729526825800,2,4691500,
2,4,706100,921729527767000,3,2811200,
2,1,938000,921729528425900,3,1405300,
2,3,833400,921729529101400,2,7391100,
2,1,938000,921729529872200,4,4871400,
2,4,706100,921729530584800,4,1663300,
2,2,959700,921729531526000,3,9225800,
2,4,706100,921729532254400,5,646100,
2,4,706100,921729532906300,6,708200,
2,4,706100,921729533634600,7,4434600,
2,1,938000,921729534754000,5,910800,
2,1,938000,921729535673400,6,1547200,
2,3,833400,921729536499500,3,7183600,
2,1,938000,921729537226800,7,5595700,
2,4,706100,921729538075700,8,732200,
2,4,706100,921729538815100,9,870800,
2,4,706100,921729539708500,10,1955700,
2,2,959700,921729540761100,4,5949900,
2,4,706100,921729541673600,11,3861700,
2,1,938000,921729542832100,8,1746800,
2,3,833400,921729543693500,4,12691100,
2,1,938000,921729544587200,9,8067600,
2,4,706100,921729545541800,12,4255500,
2,2,959700,921729546720000,5,685100,
2,2,959700,921729547412400,6,708600,
2,2,959700,921729548128800,7,728800,
2,2,959700,921729548864800,8,8090800,
2,4,706100,921729549826000,13,968400,
2,4,706100,921729550802800,14,794500,
2,1,938000,921729552664500,10,668800,
2,1,938000,921729553338600,11,605200,
2,1,938000,921729553948900,12,611900,
2,1,938000,921729554565900,13,540800,
2,1,938000,921729555111200,14,538600,
2,3,833400,921729556393200,5,1790100,
2,2,959700,921729556960900,9,602500,
2,2,959700,921729557569700,10,1415800,
2,3,833400,921729558191000,6,1644700,
2,2,959700,921729559003000,11,1514500,
2,3,833400,921729559857300,7,1888500,
2,2,959700,921729560524800,12,574900,
2,2,959700,921729561106100,13,1465400,
2,3,833400,921729561754900,8,2499000,
2,2,959700,921729562578700,14,775200,
2,3,833400,921729564308500,9,704100,
2,3,833400,921729565019900,10,713600,
2,3,833400,921729565740700,11,633700,
2,3,833400,921729566381500,12,695600,
2,3,833400,921729567086800,13,739200,
2,3,833400,921729567832100,14,766100,
2,4,706100,,,TOTAL,,53213500
2,1,938000,,,TOTAL,,57275200
2,2,959700,,,TOTAL,,64914900
2,3,833400,,,TOTAL,,70185500
3,1,1317700,921729957938700,0,37329700,
3,3,1037600,921729957941100,0,38830400,
3,4,920800,921729957954000,0,40431500,
3,2,1184300,921729957954000,0,41757600,
3,1,1317700,921729997161400,1,4998500,
3,3,1037600,921729997166100,1,6622200,
3,4,920800,921729998396200,1,2431400,
3,2,1184300,921729999724100,1,9618800,
3,4,920800,921730000842200,2,5743400,
3,1,1317700,921730002169900,2,3161100,
3,3,1037600,921730003803500,2,9559700,
3,1,1317700,921730005344800,3,6804300,
3,4,920800,921730006597500,3,1456300,
3,4,920800,921730008072300,4,2791000,
3,2,1184300,921730009410000,2,8307900,
3,4,920800,921730010880500,5,5224600,
3,1,1317700,921730012163000,4,2480100,
3,3,1037600,921730013377300,3,10449100,
3,1,1317700,921730014657200,5,5950900,
3,4,920800,921730016148800,6,3113000,
3,2,1184300,921730017732600,3,10391900,
3,4,920800,921730019277300,7,7852500,
3,1,1317700,921730020622900,6,1501200,
3,1,1317700,921730022148100,7,4122300,
3,3,1037600,921730023842900,4,7067900,
3,1,1317700,921730026283500,8,3534500,
3,4,920800,921730027161900,8,1823100,
3,2,1184300,921730028134300,4,5674800,
3,4,920800,921730028994000,9,3837800,
3,1,1317700,921730029826600,9,1996600,
3,3,1037600,921730030921100,5,5531700,
3,1,1317700,921730031834100,10,3602500,
3,4,920800,921730032842900,10,1643400,
3,2,1184300,921730033819000,5,4701600,
3,4,920800,921730034497300,11,3263700,
3,1,1317700,921730035445500,11,1686200,
3,3,1037600,921730036463100,6,4427900,
3,1,1317700,921730037155500,12,3108100,
3,4,920800,921730037768400,12,1612900,
3,2,1184300,921730038528900,6,5318600,
3,4,920800,921730039390200,13,3547400,
3,1,1317700,921730040271700,13,1599700,
3,3,1037600,921730040897700,7,5708600,
3,1,1317700,921730041882100,14,3828400,
3,4,920800,921730042949600,14,2010300,
3,2,1184300,921730043856300,7,3908400,
3,3,1037600,921730046614100,8,1913400,
3,2,1184300,921730047772300,8,1481900,
3,3,1037600,921730048536200,9,1610600,
3,2,1184300,921730049280800,9,1462700,
3,3,1037600,921730050155200,10,1682000,
3,2,1184300,921730050750800,10,2080800,
3,3,1037600,921730051845500,11,2682900,
3,2,1184300,921730052842600,11,688700,
3,2,1184300,921730053539300,12,1935400,
3,3,1037600,921730054537900,12,1667300,
3,2,1184300,921730055551000,13,1522600,
3,3,1037600,921730056212600,13,1561900,
3,2,1184300,921730057083500,14,1690500,
3,3,1037600,921730057783700,14,2921200,
3,4,920800,,,TOTAL,,87014500
3,1,1317700,,,TOTAL,,87781000
3,2,1184300,,,TOTAL,,100832800
3,3,1037600,,,TOTAL,,102774600
4,1,1258100,921730651829200,0,31386900,
4,4,1094700,921730651830500,0,32448600,
4,3,1190400,921730651831700,0,33609800,
4,2,1277900,921730651874900,0,30386600,
