experimento,hilo,tiempo_obtener_logger_ns,timestamp_ns,mensaje,tiempo_escritura_ns,tiempo_total_registro_ns
0,3,2510100,1223722417413000,0,93258500,
0,4,2258100,1223722419665900,0,95628700,
0,2,2634700,1223722422017900,0,97807500,
0,1,2823000,1223722424477000,0,100460300,
0,2,2634700,1223722426502500,1,4463700,
0,3,2510100,1223722428555700,1,8087600,
0,4,2258100,1223722431151900,1,10690800,
0,3,2510100,1223722432981900,2,4414200,
0,2,2634700,1223722434900000,2,8385500,
0,1,2823000,1223722436903900,1,12397900,
0,2,2634700,1223722438603100,3,3689100,
0,3,2510100,1223722440404400,3,7409300,
0,4,2258100,1223722474658500,2,43492100,
0,3,2510100,1223722476636300,4,36217200,
0,2,2634700,1223722478532100,4,39918100,
0,1,2823000,1223722482986500,2,46069900,
0,1,2823000,1223722512681400,3,29685500,
0,2,2634700,1223722513464500,5,34916800,
0,2,2634700,1223722514153700,6,683500,
0,2,2634700,1223722514838200,7,680100,
0,3,2510100,1223722515706000,5,39054800,
0,4,2258100,1223722516564700,3,41884400,
0,3,2510100,1223722522367500,6,6655900,
0,2,2634700,1223722522651000,8,7808000,
0,1,2823000,1223722523548800,4,10859500,
0,2,2634700,1223722524339000,9,1684600,
0,4,2258100,1223722525195300,4,8624900,
0,2,2634700,1223722529082100,10,4738100,
0,1,2823000,1223722529863800,5,6309500,
0,4,2258100,1223722530729500,5,5529200,
0,1,2823000,1223722531477700,6,1607200,
0,3,2510100,1223722532302400,7,9925800,
0,3,2510100,1223722533085900,8,777100,
0,3,2510100,1223722536247100,9,3154800,
0,2,2634700,1223722537036000,11,7918700,
0,3,2510100,1223722537830600,10,1576000,
0,1,2823000,1223722538637200,7,7152700,
0,4,2258100,1223722539462500,6,8727200,
0,4,2258100,1223722540386500,7,916300,
0,1,2823000,1223722541315200,8,2670800,
0,3,2510100,1223722542134100,11,4281200,
0,3,2510100,1223722542895500,12,755700,
0,3,2510100,1223722557277700,13,14377000,
0,2,2634700,1223722558223700,12,21182700,
0,3,2510100,1223722559049200,14,1763300,
0,1,2823000,1223722562906500,9,21585300,
0,4,2258100,1223722564013400,8,23619000,
0,1,2823000,1223722565013600,10,2098000,
0,2,2634700,1223722565958500,13,7728100,
0,1,2823000,1223722566638200,11,1603100,
0,4,2258100,1223722567259800,9,3239500,
0,1,2823000,1223722568036900,12,1393300,
0,2,2634700,1223722568685000,14,2720200,
0,1,2823000,1223722569498400,13,1456000,
0,4,2258100,1223722570309800,10,3045200,
0,1,2823000,1223722571147400,14,1580300,
0,4,2258100,1223722572095400,11,1762700,
0,4,2258100,1223722572908300,12,806300,
0,4,2258100,1223722573764000,13,849700,
0,4,2258100,1223722574462600,14,692200,
0,1,2823000,,,TOTAL,,247137700
0,2,2634700,,,TOTAL,,244480800
0,3,2510100,,,TOTAL,,234901800
0,4,2258100,,,TOTAL,,250432900
1,1,922500,1223722905241200,0,55100500,
1,2,1028300,1223722906544000,0,56289400,
1,2,1028300,1223722907957600,1,1365200,
1,4,723000,1223722909031000,0,58878600,
1,3,817100,1223722909863900,0,59666800,
1,4,723000,1223722910923000,1,1857000,
1,2,1028300,1223722912050800,2,4083600,
1,1,922500,1223722913157000,1,6566000,
1,2,1028300,1223722914226900,3,2169800,
1,2,1028300,1223722915974500,4,1739800,
1,4,723000,1223722916994500,2,6065800,
1,3,817100,1223722917919300,1,8043000,
1,4,723000,1223722918854300,3,1852900,
1,2,1028300,1223722919881500,5,3897600,
1,1,922500,1223722920884300,2,7717000,
1,2,1028300,1223722921870000,6,1982200,
1,4,723000,1223722922713500,4,3850000,
1,3,817100,1223722923501400,2,5575200,
1,4,723000,1223722924299200,5,1580400,
1,2,1028300,1223722925369300,7,3493400,
1,1,922500,1223722926423700,3,5532900,
1,2,1028300,1223722927395300,8,2019300,
1,4,723000,1223722928127600,6,3822300,
1,3,817100,1223722928978100,3,5470900,
1,4,723000,1223722929725300,7,1592000,
1,2,1028300,1223722930820100,9,3417600,
1,2,1028300,1223722931969900,10,1114100,
1,1,922500,1223722932961600,4,6531200,
1,2,1028300,1223722933966800,11,1955100,
1,4,723000,1223722934997300,8,5266800,
1,3,817100,1223722935953200,4,6969600,
1,4,723000,1223722936978000,9,1974600,
1,2,1028300,1223722937841800,12,3861300,
1,1,922500,1223722938585600,5,5606900,
1,2,1028300,1223722939579100,13,1730900,
1,4,723000,1223722940781900,10,3797700,
1,3,817100,1223722941781900,5,5820100,
1,4,723000,1223722942822700,11,2013600,
1,2,1028300,1223722943719800,14,4134700,
1,1,922500,1223722944572800,6,5981500,
1,4,723000,1223722945448200,12,2619200,
1,3,817100,1223722946202400,6,4414200,
1,4,723000,1223722947134800,13,1681300,
1,1,922500,1223722948454800,7,3876200,
1,4,723000,1223722949557900,14,2417200,
1,3,817100,1223722950536500,7,4328800,
1,1,922500,1223722951549300,8,3084400,
1,3,817100,1223722952505300,8,1962500,
1,1,922500,1223722953360500,9,1805100,
1,1,922500,1223722954484600,10,1118000,
1,3,817100,1223722955230800,9,2718900,
1,1,922500,1223722955990900,11,1484600,
1,3,817100,1223722956662200,10,1426500,
1,1,922500,1223722957308300,12,1310600,
1,3,817100,1223722957950600,11,1266200,
1,1,922500,1223722958954600,13,1577600,
1,3,817100,1223722959863100,12,1906600,
1,1,922500,1223722960853700,14,1893200,
1,3,817100,1223722961826900,13,1958600,
1,3,817100,1223722962670800,14,837000,
1,1,922500,,,TOTAL,,110719500
1,2,1028300,,,TOTAL,,93472500
1,3,817100,,,TOTAL,,112480000
1,4,723000,,,TOTAL,,99412900
2,2,1287400,1223723319852200,0,82603200,
2,1,1179700,1223723321927700,0,84862600,
2,3,1015600,1223723323968200,0,86799900,
2,4,916600,1223723325929700,0,88844300,
2,3,1015600,1223723328170300,1,4178000,
2,1,1179700,1223723330333700,1,8387200,
2,1,1179700,1223723332786400,2,2431500,
2,2,1287400,1223723334977500,1,13369400,
2,1,1179700,1223723336416600,3,3616600,
2,3,1015600,1223723337783800,2,9601800,
2,4,916600,1223723339064100,1,13114100,
2,3,1015600,1223723340366100,3,2563700,
2,1,1179700,1223723341692100,4,5265800,
2,2,1287400,1223723343580700,2,8590300,
2,1,1179700,1223723345323700,5,3609700,
2,3,1015600,1223723346855300,4,6474800,
2,4,916600,1223723348856400,2,9780200,
2,3,1015600,1223723350603400,5,3737600,
2,1,1179700,1223723352699800,6,7365500,
2,2,1287400,1223723354725800,3,11133700,
2,1,1179700,1223723356453600,7,3741600,
2,3,1015600,1223723357828400,6,7213100,
2,4,916600,1223723359098000,3,10220400,
2,3,1015600,1223723360932800,7,3093900,
2,1,1179700,1223723362463100,8,5998600,
2,2,1287400,1223723364182100,4,9441700,
2,1,1179700,1223723365852600,9,3373100,
2,3,1015600,1223723368102100,8,7157800,
2,4,916600,1223723369865100,4,10757700,
2,3,1015600,1223723371583800,9,3467100,
2,1,1179700,1223723373560200,10,7696000,
2,2,1287400,1223723375542200,5,11347700,
2,1,1179700,1223723377241400,11,3617800,
2,3,1015600,1223723379010800,10,7410400,
2,4,916600,1223723381124400,5,11247800,
2,3,1015600,1223723383015300,11,3963000,
2,1,1179700,1223723384954300,12,7701100,
2,2,1287400,1223723386295000,6,10741400,
2,1,1179700,1223723387998100,13,3029900,
2,3,1015600,1223723390008100,12,6979700,
2,4,916600,1223723391792100,6,10648100,
2,3,1015600,1223723393603100,13,3581300,
2,1,1179700,1223723395607900,14,7597500,
2,2,1287400,1223723397030600,7,10721100,
2,3,1015600,1223723398802000,14,5188400,
2,4,916600,1223723401115700,7,9311700,
2,2,1287400,1223723402544400,8,5502100,
2,4,916600,1223723404095400,8,2965300,
2,2,1287400,1223723405432300,9,2873600,
2,4,916600,1223723407239200,9,3130500,
2,2,1287400,1223723409077300,10,3632800,
2,4,916600,1223723410643400,10,3391000,
2,2,1287400,1223723412322100,11,3202400,
2,4,916600,1223723414011200,11,3329600,
2,2,1287400,1223723416000900,12,3664200,
2,4,916600,1223723418064100,12,3743700,
2,2,1287400,1223723420219200,13,4203500,
2,4,916600,1223723421864600,13,3788500,
2,2,1287400,1223723424119000,14,3885600,
2,4,916600,1223723426184900,14,4306300,
2,1,1179700,,,TOTAL,,158556000
2,2,1287400,,,TOTAL,,186888100
2,3,1015600,,,TOTAL,,161647600
2,4,916600,,,TOTAL,,189123900
3,2,1791100,1223723999439400,0,85715900,
3,4,1280800,1223724001608100,0,88074900,
3,1,1651600,1223724003892200,0,90387700,
3,3,1499600,1223724006007200,0,92385600,
3,1,1651600,1223724007966600,1,4053600,
3,2,1791100,1223724009813800,1,7821900,
3,4,1280800,1223724012149400,1,10165500,
3,2,1791100,1223724014265300,2,4437700,
3,1,1651600,1223724017044300,2,9062200,
3,3,1499600,1223724019136800,1,13106500,
3,1,1651600,1223724020961800,3,3903000,
3,2,1791100,1223724022871400,3,8591000,
3,4,1280800,1223724024610700,2,12448300,
3,2,1791100,1223724026466100,4,3583100,
3,1,1651600,1223724028351300,4,7374900,
3,3,1499600,1223724030162100,2,10998500,
3,1,1651600,1223724031929800,5,3561600,
3,2,1791100,1223724033789300,5,7310500,
3,4,1280800,1223724035713800,3,11090900,
3,2,1791100,1223724037808800,6,4007200,
3,1,1651600,1223724039496500,6,7553700,
3,3,1499600,1223724041587700,3,11415000,
3,1,1651600,1223724043363000,7,3853500,
3,2,1791100,1223724045247000,7,7423700,
3,4,1280800,1223724046982900,4,11254400,
3,2,1791100,1223724048654300,8,3396400,
3,1,1651600,1223724050256300,8,6881700,
3,1,1651600,1223724052526700,9,2241700,
3,3,1499600,1223724054580500,4,12978200,
3,1,1651600,1223724056588600,10,4048300,
3,2,1791100,1223724058146900,9,9481100,
3,4,1280800,1223724060271800,5,13275900,
3,2,1791100,1223724062068700,10,3907200,
3,1,1651600,1223724063844400,11,7194000,
3,3,1499600,1223724065450000,5,10849600,
3,1,1651600,1223724067468800,12,3613200,
3,2,1791100,1223724069431500,11,7319000,
3,4,1280800,1223724071476700,6,11190700,
3,2,1791100,1223724073495900,12,4050600,
3,1,1651600,1223724075428300,13,7944800,
3,3,1499600,1223724077096900,6,11634200,
3,1,1651600,1223724078694800,14,3254400,
3,2,1791100,1223724080422900,13,6914800,
3,4,1280800,1223724082193400,7,10699200,
3,2,1791100,1223724084154800,14,3721000,
3,3,1499600,1223724086138700,7,9029500,
3,4,1280800,1223724087588200,8,5382300,
3,3,1499600,1223724089207800,8,3056200,
3,4,1280800,1223724090916500,9,3288200,
3,3,1499600,1223724092525900,9,3306500,
3,4,1280800,1223724093842700,10,2913200,
3,3,1499600,1223724095405000,10,2868200,
3,4,1280800,1223724097160600,11,3275200,
3,3,1499600,1223724099105300,11,3666900,
3,4,1280800,1223724101318000,12,4144600,
3,3,1499600,1223724103124200,12,3881600,
3,4,1280800,1223724104550800,13,3218900,
3,3,1499600,1223724105949000,13,2812400,
3,4,1280800,1223724107421600,14,2860500,
3,3,1499600,1223724109190900,14,3229900,
3,1,1651600,,,TOTAL,,165201700
3,2,1791100,,,TOTAL,,170446900
3,3,1499600,,,TOTAL,,195581800
3,4,1280800,,,TOTAL,,193901900
4,4,1103500,1223724514648300,0,78305000,
4,2,1502000,1223724516696100,0,80299200,
4,3,1399900,1223724518735900,0,82300000,
4,1,1503700,1223724520544400,0,84243600,
4,3,1399900,1223724522307000,1,3548600,
4,2,1502000,1223724523976100,1,7229300,
4,4,1103500,1223724525764400,1,9177900,
4,4,1103500,1223724527609200,2,1834300,
4,2,1502000,1223724530105200,2,6116400,
4,3,1399900,1223724531634700,2,9317800,
4,1,1503700,1223724534067300,1,13503700,
4,3,1399900,1223724535760200,3,4112400,
4,2,1502000,1223724537367100,3,7249100,
4,4,1103500,1223724538549300,3,10930300,
4,2,1502000,1223724539750600,4,2374000,
4,3,1399900,1223724541169600,4,5398600,
4,1,1503700,1223724542602800,2,8520900,
4,3,1399900,1223724544256400,5,3074600,
4,2,1502000,1223724545827800,5,6067800,
4,4,1103500,1223724547505700,4,8947500,
4,2,1502000,1223724555213500,6,9369400,
4,3,1399900,1223724557203900,6,12938000,
4,1,1503700,1223724558733500,3,16119800,
4,1,1503700,1223724561316900,4,2568700,
4,3,1399900,1223724566731300,7,9514200,
4,2,1502000,1223724569951600,7,14722900,
4,2,1502000,1223724573302600,8,3337400,
4,2,1502000,1223724577315300,9,3996200,
4,2,1502000,1223724586593100,10,9262200,
4,2,1502000,1223724587785100,11,1137800,
4,2,1502000,1223724588917200,12,1125000,
4,4,1103500,1223724590152000,5,42633900,
4,2,1502000,1223724592220000,13,3294000,
4,3,1399900,1223724593449500,8,26700000,
4,1,1503700,1223724594574200,5,33245700,
4,3,1399900,1223724595624700,9,2164500,
4,2,1502000,1223724596536000,14,4304200,
4,4,1103500,1223724597294100,6,7131800,
4,3,1399900,1223724598422100,10,2791300,
4,3,1399900,1223724600013300,11,1560600,
4,3,1399900,1223724600970600,12,949300,
4,3,1399900,1223724602266900,13,1284600,
4,1,1503700,1223724603247500,6,8664600,
4,1,1503700,1223724604107700,7,850500,
4,1,1503700,1223724604937900,8,823100,
4,1,1503700,1223724605750300,9,806500,
4,3,1399900,1223724606579300,14,4303800,
4,4,1103500,1223724607457900,7,10158000,
4,4,1103500,1223724608814000,8,1345000,
4,4,1103500,1223724609869600,9,1049600,
4,4,1103500,1223724610804200,10,928000,
4,1,1503700,1223724611691800,10,5935500,
4,4,1103500,1223724613417700,11,2587100,
4,1,1503700,1223724614222300,11,2501900,
4,4,1103500,1223724614790500,12,1366300,
4,1,1503700,1223724615818400,12,1525300,
4,1,1503700,1223724617385400,13,1560000,
4,1,1503700,1223724618273900,14,881100,
4,4,1103500,1223724619076200,13,4280500,
4,4,1103500,1223724619872600,14,791600,
4,1,1503700,,,TOTAL,,181980100
4,2,1502000,,,TOTAL,,160147400
4,3,1399900,,,TOTAL,,170149900
4,4,1103500,,,TOTAL,,183534900
5,2,1605000,1223725114400900,0,84914900,
5,1,1536600,1223725116248500,0,86948600,
5,4,1194400,1223725118335800,0,89008500,
5,3,1416200,1223725120536400,0,91120800,
5,4,1194400,1223725122275600,1,3920600,
5,1,1536600,1223725123942400,1,6897600,
5,2,1605000,1223725125521800,1,8475800,
5,1,1536600,1223725126959500,2,3003600,
5,4,1194400,1223725128807100,2,6520600,
5,3,1416200,1223725130084000,1,9527800,
5,4,1194400,1223725131277800,3,2458700,
5,1,1536600,1223725132901800,3,5929500,
5,2,1605000,1223725134262200,2,8725800,
5,1,1536600,1223725135851700,4,2937100,
5,4,1194400,1223725137295600,4,6008400,
5,3,1416200,1223725139120900,2,9021200,
5,4,1194400,1223725140676100,5,3366800,
5,1,1536600,1223725141947200,5,6084200,
5,2,1605000,1223725143101400,3,8827500,
5,1,1536600,1223725145041200,6,3083300,
5,4,1194400,1223725146856700,6,6168800,
5,3,1416200,1223725148644600,3,9503200,
5,4,1194400,1223725150440300,7,3571500,
5,1,1536600,1223725152120200,7,7068400,
5,2,1605000,1223725153944600,4,10832300,
5,1,1536600,1223725155686100,8,3553300,
5,4,1194400,1223725157466400,8,7015500,
5,3,1416200,1223725159116100,4,10459600,
5,4,1194400,1223725160922200,9,3444100,
5,1,1536600,1223725162671900,9,6974200,
5,2,1605000,1223725164292100,5,10336500,
5,1,1536600,1223725165861700,10,3179000,
5,4,1194400,1223725167158300,10,6225100,
5,3,1416200,1223725168877200,5,9749400,
5,4,1194400,1223725170585900,11,3381800,
5,4,1194400,1223725171957900,12,1361300,
5,1,1536600,1223725173540700,11,7609100,
5,2,1605000,1223725174847200,6,10541400,
5,1,1536600,1223725176131400,12,2580100,
5,4,1194400,1223725177624900,13,5656000,
5,3,1416200,1223725178812500,6,9924000,
5,4,1194400,1223725180471000,14,2835600,
5,1,1536600,1223725182184600,13,6042600,
5,2,1605000,1223725183575900,7,8717500,
5,1,1536600,1223725185334900,14,3139700,
5,3,1416200,1223725187023000,7,8200200,
5,2,1605000,1223725188613300,8,5024900,
5,3,1416200,1223725190287100,8,3252100,
5,2,1605000,1223725192092700,9,3467600,
5,3,1416200,1223725193844300,9,3543700,
5,2,1605000,1223725195485900,10,3382400,
5,3,1416200,1223725197301700,10,3445800,
5,2,1605000,1223725198785100,11,3259300,
5,3,1416200,1223725200446800,11,3105800,
5,2,1605000,1223725202180600,12,3384700,
5,3,1416200,1223725203684200,12,3111800,
5,2,1605000,1223725205316500,13,3122700,
5,3,1416200,1223725207227300,13,3530700,
5,2,1605000,1223725208902900,14,3573800,
5,3,1416200,1223725210867900,14,3627200,
5,1,1536600,,,TOTAL,,156046300
5,2,1605000,,,TOTAL,,179428800
5,3,1416200,,,TOTAL,,181466500
5,4,1194400,,,TOTAL,,151157500
6,1,1488800,1223725680988600,0,79670600,
6,3,1272800,1223725683239800,0,81793000,
6,2,1604900,1223725685618900,0,84112900,
6,4,964600,1223725687636400,0,86295400,
6,2,1604900,1223725689826400,1,4187000,
6,2,1604900,1223725692080300,2,2239200,
6,1,1488800,1223725694187400,1,10616500,
6,3,1272800,1223725696157100,1,12583100,
6,1,1488800,1223725697942500,2,3740800,
6,2,1604900,1223725699784400,3,7691800,
6,4,964600,1223725701749000,1,14083300,
6,2,1604900,1223725703803000,4,3998100,
6,1,1488800,1223725705808100,3,7850700,
6,3,1272800,1223725707516000,2,11347200,
6,1,1488800,1223725709184600,4,3363800,
6,2,1604900,1223725710644900,5,6829200,
6,4,964600,1223725711767800,2,9997400,
6,2,1604900,1223725713514500,6,2857900,
6,1,1488800,1223725715113900,5,5917600,
